id_cliente,nome,numero,cpf,ticket,cidade
25,Giovana Silva,45678901236,456.789.012-36,50,Macapá
26,Ana Paula,56789012347,567.890.123-47,51,Porto Velho
26,Ana Paula,56789012347,567.890.123-47,52,Porto Velho
27,João Pedro,67890123458,678.901.234-58,53,Palmas
27,João Pedro,67890123458,678.901.234-58,54,Palmas
28,Rita Oliveira,78901234569,789.012.345-69,55,Teresina
28,Rita Oliveira,78901234569,789.012.345-69,56,Teresina
29,Marcio Santos,89012345680,890.123.456-80,57,Feira de Santana
29,Marcio Santos,89012345680,890.123.456-80,58,Feira de Santana
30,Paula Costa,90123456791,901.234.567-91,59,Campinas
30,Paula Costa,90123456791,901.234.567-91,60,Campinas
31,André Almeida,01234567892,012.345.678-92,61,Valença
31,André Almeida,01234567892,012.345.678-92,62,Valença
32,Laura Martins,12345678905,123.456.789-05,63,Brasília
32,Laura Martins,12345678905,123.456.789-05,64,Brasília
33,Renato Costa,23456789015,234.567.890-15,65,Uberlândia
33,Renato Costa,23456789015,234.567.890-15,66,Uberlândia
34,Daniela Silva,34567890126,345.678.901-26,67,Campo Grande
34,Daniela Silva,34567890126,345.678.901-26,68,Campo Grande
35,Leandro Lima,45678901237,456.789.012-37,69,Maringá
35,Leandro Lima,45678901237,456.789.012-37,70,Maringá
36,Marina Oliveira,56789012348,567.890.123-48,71,Santos
36,Marina Oliveira,56789012348,567.890.123-48,72,Santos
37,Viviane Almeida,67890123459,678.901.234-59,73,Itapevi
37,Viviane Almeida,67890123459,678.901.234-59,74,Itapevi
38,Fábio Costa,78901234570,789.012.345-70,75,Diadema
38,Fábio Costa,78901234570,789.012.345-70,76,Diadema
39,Marcela Souza,89012345681,890.123.456-81,77,Osasco
39,Marcela Souza,89012345681,890.123.456-81,78,Osasco
40,Thiago Pereira,90123456792,901.234.567-92,79,Barueri
40,Thiago Pereira,90123456792,901.234.567-92,80,Barueri
41,Joana Costa,01234567893,012.345.678-93,81,Guarulhos
41,Joana Costa,01234567893,012.345.678-93,82,Guarulhos
42,Lucas Costa,12345678906,123.456.789-06,83,Jundiaí
42,Lucas Costa,12345678906,123.456.789-06,84,Jundiaí
43,Ricardo Lima,23456789016,234.567.890-16,85,São Bernardo do Campo
43,Ricardo Lima,23456789016,234.567.890-16,86,São Bernardo do Campo
44,Bruna Silva,34567890127,345.678.901-27,87,São Caetano do Sul
44,Bruna Silva,34567890127,345.678.901-27,88,São Caetano do Sul
45,Anderson Almeida,45678901238,456.789.012-38,89,Indaiatuba
45,Anderson Almeida,45678901238,456.789.012-38,90,Indaiatuba
46,Mariana Costa,56789012349,567.890.123-49,91,Boituva
46,Mariana Costa,56789012349,567.890.123-49,92,Boituva
47,Erika Silva,67890123460,678.901.234-60,93,Taubaté
47,Erika Silva,67890123460,678.901.234-60,94,Taubaté
48,Paulo Souza,78901234571,789.012.345-71,95,Carapicuíba
48,Paulo Souza,78901234571,789.012.345-71,96,Carapicuíba
49,Claudia Ribeiro,89012345682,890.123.456-82,97,Itapecerica da Serra
49,Claudia Ribeiro,89012345682,890.123.456-82,98,Itapecerica da Serra
50,Felipe Oliveira,90123456793,901.234.567-93,99,Guarulhos
50,Felipe Oliveira,90123456793,901.234.567-93,100,Guarulhos
51,Renata Costa,01234567894,012.345.678-94,101,Osasco
51,Renata Costa,01234567894,012.345.678-94,102,Osasco
52,Marcelo Almeida,12345678907,123.456.789-07,103,São Caetano do Sul
52,Marcelo Almeida,12345678907,123.456.789-07,104,São Caetano do Sul
53,Joana Silva,23456789017,234.567.890-17,105,Barueri
53,Joana Silva,23456789017,234.567.890-17,106,Barueri
54,Daniela Lima,34567890128,345.678.901-28,107,Guarulhos
54,Daniela Lima,34567890128,345.678.901-28,108,Guarulhos
55,Roberto Silva,45678901239,456.789.012-39,109,São Bernardo do Campo
55,Roberto Silva,45678901239,456.789.012-39,110,São Bernardo do Campo
56,Carla Ribeiro,56789012350,567.890.123-50,111,Indaiatuba
56,Carla Ribeiro,56789012350,567.890.123-50,112,Indaiatuba
57,Renan Costa,67890123461,678.901.234-61,113,Itapevi
57,Renan Costa,67890123461,678.901.234-61,114,Itapevi
58,Débora Silva,78901234572,789.012.345-72,115,Boituva
58,Débora Silva,78901234572,789.012.345-72,116,Boituva
59,Lucas Almeida,89012345683,890.123.456-83,117,Taubaté
59,Lucas Almeida,89012345683,890.123.456-83,118,Taubaté
60,Mariane Costa,90123456794,901.234.567-94,119,Carapicuíba
60,Mariane Costa,90123456794,901.234.567-94,120,Carapicuíba
61,Gustavo Silva,01234567895,012.345.678-95,121,Itapecerica da Serra
61,Gustavo Silva,01234567895,012.345.678-95,122,Itapecerica da Serra
62,Nathalia Ribeiro,12345678908,123.456.789-08,123,São Bernardo do Campo
62,Nathalia Ribeiro,12345678908,123.456.789-08,124,São Bernardo do Campo
63,Flávia Costa,23456789018,234.567.890-18,125,Guarulhos
63,Flávia Costa,23456789018,234.567.890-18,126,Guarulhos
64,Aline Almeida,34567890129,345.678.901-29,127,Barueri
64,Aline Almeida,34567890129,345.678.901-29,128,Barueri
65,Felipe Ferreira,45678901240,456.789.012-40,129,São Caetano do Sul
65,Felipe Ferreira,45678901240,456.789.012-40,130,São Caetano do Sul
66,Mariana Souza,56789012351,567.890.123-51,131,Campo Grande
66,Mariana Souza,56789012351,567.890.123-51,132,Campo Grande
67,André Costa,67890123462,678.901.234-62,133,Guarulhos
67,André Costa,67890123462,678.901.234-62,134,Guarulhos
68,Bruna Costa,78901234573,789.012.345-73,135,Barueri
68,Bruna Costa,78901234573,789.012.345-73,136,Barueri
69,Thiago Lima,89012345684,890.123.456-84,137,Itapevi
69,Thiago Lima,89012345684,890.123.456-84,138,Itapevi
70,Juliana Silva,90123456795,901.234.567-95,139,Taubaté
70,Juliana Silva,90123456795,901.234.567-95,140,Taubaté
71,Marcio Almeida,01234567896,012.345.678-96,141,Indaiatuba
71,Marcio Almeida,01234567896,012.345.678-96,142,Indaiatuba
72,Patricia Ribeiro,12345678909,123.456.789-09,143,Boituva
72,Patricia Ribeiro,12345678909,123.456.789-09,144,Boituva
73,Fernando Costa,23456789019,234.567.890-19,145,Carapicuíba
73,Fernando Costa,23456789019,234.567.890-19,146,Carapicuíba
74,Paula Almeida,34567890130,345.678.901-30,147,Taubaté
74,Paula Almeida,34567890130,345.678.901-30,148,Taubaté
75,Marcelo Costa,45678901241,456.789.012-41,149,Indaiatuba
75,Marcelo Costa,45678901241,456.789.012-41,150,Indaiatuba
76,Daniela Souza,56789012352,567.890.123-52,151,Guarulhos
76,Daniela Souza,56789012352,567.890.123-52,152,Guarulhos
77,Renata Lima,67890123463,678.901.234-63,153,São Caetano do Sul
77,Renata Lima,67890123463,678.901.234-63,154,São Caetano do Sul
78,Luciana Santos,78901234574,789.012.345-74,155,Barueri
78,Luciana Santos,78901234574,789.012.345-74,156,Barueri
79,João Costa,89012345685,890.123.456-85,157,Diadema
79,João Costa,89012345685,890.123.456-85,158,Diadema
80,Patrícia Lima,90123456796,901.234.567-96,159,Itapecerica da Serra
80,Patrícia Lima,90123456796,901.234.567-96,160,Itapecerica da Serra
81,Leonardo Almeida,01234567897,012.345.678-97,161,Osasco
81,Leonardo Almeida,01234567897,012.345.678-97,162,Osasco
82,Amanda Costa,12345678910,123.456.789-10,163,Carapicuíba
82,Amanda Costa,12345678910,123.456.789-10,164,Carapicuíba
83,Roberta Silva,23456789020,234.567.890-20,165,Taubaté
83,Roberta Silva,23456789020,234.567.890-20,166,Taubaté
84,Matheus Oliveira,34567890131,345.678.901-31,167,Boituva
84,Matheus Oliveira,34567890131,345.678.901-31,168,Boituva
85,Patricia Costa,45678901242,456.789.012-42,169,Guarulhos
85,Patricia Costa,45678901242,456.789.012-42,170,Guarulhos
86,Rafael Lima,56789012353,567.890.123-53,171,São Caetano do Sul
86,Rafael Lima,56789012353,567.890.123-53,172,São Caetano do Sul
87,Nicole Ribeiro,67890123464,678.901.234-64,173,Diadema
87,Nicole Ribeiro,67890123464,678.901.234-64,174,Diadema
88,Camila Almeida,78901234575,789.012.345-75,175,São Bernardo do Campo
88,Camila Almeida,78901234575,789.012.345-75,176,São Bernardo do Campo
89,Robson Souza,89012345686,890.123.456-86,177,Indaiatuba
89,Robson Souza,89012345686,890.123.456-86,178,Indaiatuba
90,Juliana Almeida,90123456797,901.234.567-97,179,Boituva
90,Juliana Almeida,90123456797,901.234.567-97,180,Boituva
91,Aline Souza,01234567898,012.345.678-98,181,Guarulhos
91,Aline Souza,01234567898,012.345.678-98,182,Guarulhos
92,Renan Silva,12345678911,123.456.789-11,183,Itapevi
92,Renan Silva,12345678911,123.456.789-11,184,Itapevi
93,Juliana Costa,23456789021,234.567.890-21,185,Taubaté
93,Juliana Costa,23456789021,234.567.890-21,186,Taubaté
94,Bruno Almeida,34567890132,345.678.901-32,187,São Bernardo do Campo
94,Bruno Almeida,34567890132,345.678.901-32,188,São Bernardo do Campo
95,Aline Lima,45678901243,456.789.012-43,189,Indaiatuba
95,Aline Lima,45678901243,456.789.012-43,190,Indaiatuba
96,Thiago Costa,56789012354,567.890.123-54,191,Guarulhos
96,Thiago Costa,56789012354,567.890.123-54,192,Guarulhos
97,Roberta Almeida,67890123465,678.901.234-65,193,Boituva
97,Roberta Almeida,67890123465,678.901.234-65,194,Boituva
98,Daniel Oliveira,78901234576,789.012.345-76,195,Taubaté
98,Daniel Oliveira,78901234576,789.012.345-76,196,Taubaté
99,Claudia Souza,89012345687,890.123.456-87,197,Carapicuíba
99,Claudia Souza,89012345687,890.123.456-87,198,Carapicuíba
100,Leonardo Costa,90123456798,901.234.567-98,199,Diadema
100,Leonardo Costa,90123456798,901.234.567-98,200,Diadema
